OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,NEIGHBOURHOOD_158
656,GO-20135070453,2013.11.01,2013,November,1,Friday,305,D51,Other,Regent Park
657,GO-2013939200,2013.11.09,2013,November,9,Saturday,313,D13,Other,Wychwood
658,GO-2013943773,2013.11.10,2013,November,10,Sunday,314,D55,Shooting,East End-Danforth
659,GO-20131032372,2013.11.24,2013,November,24,Sunday,328,D23,Shooting,Mount Olive-Silverstone-Jamestown
660,GO-20131036741,2013.11.25,2013,November,25,Monday,329,D32,Stabbing,Lawrence Park North
661,GO-20131225193,2013.12.26,2013,December,26,Thursday,360,D12,Other,Pelmo Park-Humberlea
662,GO-20131231259,2013.12.27,2013,December,27,Friday,361,D42,Other,Milliken
663,GO-20141272537,2014.01.03,2014,January,3,Friday,3,D51,Other,North St.James Town
664,GO-20141326860,2014.01.14,2014,January,14,Tuesday,14,D41,Other,Dorset Park
665,GO-20141431240,2014.01.29,2014,January,29,Wednesday,29,D43,Other,Golfdale-Cedarbrae-Woburn
666,GO-20141428622,2014.01.29,2014,January,29,Wednesday,29,D23,Shooting,Humber Heights-Westmount
667,GO-20141435425,2014.01.30,2014,January,30,Thursday,30,D51,Other,Downtown Yonge East
668,GO-20141381673,2014.02.02,2014,February,2,Sunday,33,D54,Stabbing,O'Connor-Parkview
669,GO-20141462653,2014.02.03,2014,February,3,Monday,34,D41,Other,Wexford/Maryvale
670,GO-20141470629,2014.02.04,2014,February,4,Tuesday,35,D32,Shooting,Lawrence Park North
671,GO-20141500533,2014.02.09,2014,February,9,Sunday,40,D22,Shooting,Alderwood
672,GO-20141518863,2014.02.12,2014,February,12,Wednesday,43,D23,Stabbing,Mount Olive-Silverstone-Jamestown
673,GO-20141663866,2014.03.08,2014,March,8,Saturday,67,D54,Shooting,Flemingdon Park
674,GO-20141667340,2014.03.09,2014,March,9,Sunday,68,D22,Stabbing,Etobicoke City Centre
675,GO-20141668180,2014.03.12,2014,March,12,Wednesday,71,D55,Other,Greenwood-Coxwell
676,GO-20141703847,2014.03.15,2014,March,15,Saturday,74,D55,Stabbing,South Riverdale
677,GO-20141703051,2014.03.15,2014,March,15,Saturday,74,D43,Stabbing,Woburn North
678,GO-20141731923,2014.03.19,2014,March,19,Wednesday,78,D55,Shooting,East End-Danforth
679,GO-20141731923,2014.03.19,2014,March,19,Wednesday,78,D55,Shooting,East End-Danforth
680,GO-20141766614,2014.03.25,2014,March,25,Tuesday,84,D11,Shooting,Weston-Pelham Park
